pattern
NN
VBD
VBZ
NN IN
NN NN IN
NNS IN
RB NN IN
DT NN IN
DT JJ NN IN
DT RB NN IN
JJ NN IN
RB JJ NN IN
VBN IN
VBD IN
VBD TO
VBZ DT NN TO
VBZ DT JJ NN TO
VBZ DT RB NN TO
VBZ DT NN IN
VBZ DT JJ NN IN
VBZ DT RB NN IN
VBD DT NN IN
VBD DT NN TO
VBD NN TO
VBD NN IN
